PXD002801: mouse livers; CC experiment																																																											
"Program ""PAW_protein_grouper.py"" run on Tue Oct 28 09:49:56 2025"																																																											
																																																											
 	6326																								CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool
5618	1	sp|Q9ET01|PYGL_MOUSE	 	 	"sp|Q8CI94|PYGB_MOUSE, sp|Q9ET01|PYGL_MOUSE, sp|Q9WUB3|PYGM_MOUSE"	 	72892197	62.9	850	97462	"Glycogen phosphorylase, liver form OS=Mus musculus OX=10090 GN=Pygl PE=1 SV=4"	606	552	0.911	200	193	213	185	175	192	197.97	190.378	210.693	185	97124196	79117651	112673840	5483578	100009648	152621517	70349417	6373452	83982211	106233463	81396897	175	77706626	56638562	97181444	4297717	63851850	118014208	64455950	4970671	94116651	79371611	66060529	192	84535124	80557537	96287488	5468353	83528614	111267386	91268217	4695834	102279675	52303417	71219165
353	1	sp|O08709|PRDX6_MOUSE	 	 	 	 	70586531	63.8	224	24870	Peroxiredoxin-6 OS=Mus musculus OX=10090 GN=Prdx6 PE=1 SV=3	259	259	1	88	80	91	88	80	91	88	80	91	88	88345332	80374461	113765397	5790064	120768929	136654825	63058862	5925928	87533769	65574600	76779217	80	70261635	54336918	102242453	4202639	85423054	113492393	71000872	4950195	90010130	72097107	66801740	91	76423611	101986424	93115901	6147675	98751824	102193144	83342093	3739983	76962832	39122880	68178637
1900	1	sp|Q05920|PYC_MOUSE	 	 	 	 	69990622	49.9	1178	129683	"Pyruvate carboxylase, mitochondrial OS=Mus musculus OX=10090 GN=Pc PE=1 SV=1"	724	724	1	255	242	227	255	242	227	255	242	227	255	93826945	86751925	101490466	5988771	136955456	138229046	76461535	6473249	86941250	118144306	85126295	242	60436465	61578171	84424447	4006574	70460602	96166176	69538568	4644421	71953895	85962706	60917202	227	71361180	84905376	73851190	5026592	89261613	90248810	91201972	3751708	86473801	43201441	63928368
5808	1	sp|Q9QXD6|F16P1_MOUSE	 	 	 	 	66668370	60.7	338	36912	"Fructose-1,6-bisphosphatase 1 OS=Mus musculus OX=10090 GN=Fbp1 PE=1 SV=3"	638	638	1	221	195	222	221	195	222	221	195	222	221	67421556	65767765	79538979	4669965	77693666	123170298	53142811	5338213	85105970	93848991	65569821	195	79806787	62912017	103356605	4734934	66520599	133992854	82491246	5618552	114646968	87285777	74136634	222	69493792	81253049	77354359	5298819	67058965	91392410	75180944	3946166	84657215	47350812	60298653
4387	1	sp|Q91X83|METK1_MOUSE	 	 	"sp|Q3THS6|METK2_MOUSE, sp|Q91X83|METK1_MOUSE"	 	66395886	65.9	396	43508	S-adenosylmethionine synthase isoform type-1 OS=Mus musculus OX=10090 GN=Mat1a PE=1 SV=1	391	345	0.882	124	133	134	111	116	118	122.452	131.053	132.195	111	86977103	70589290	116730136	4304928	120942558	110494913	28507354	5026760	38811021	103032515	68541658	116	63695111	91578056	108061745	6201594	76049327	133127150	52881703	6529351	38243086	126656549	70302367	118	62430751	69742246	92342022	4912181	89678069	105550452	70268486	4330698	57665069	46516360	60343633
5421	1	sp|Q9DBM2|ECHP_MOUSE	 	 	 	 	63038712	59.7	718	78301	Peroxisomal bifunctional enzyme OS=Mus musculus OX=10090 GN=Ehhadh PE=1 SV=4	567	567	1	185	196	186	185	196	186	185	196	186	185	98687840	41312881	100416850	3708868	54828392	139802253	79782387	4984083	81745039	51836777	65710537	196	77373262	45263563	98147046	3978295	53532548	143204724	92831514	4937577	79049268	59208607	65752640	186	68422554	70204999	86325487	4414617	52647057	103162938	77393545	3455241	76095614	34407537	57652959
1427	1	sp|P56391|CX6B1_MOUSE	 	 	 	 	62789766	69.8	86	10071	Cytochrome c oxidase subunit 6B1 OS=Mus musculus OX=10090 GN=Cox6b1 PE=1 SV=2	116	116	1	36	37	43	36	37	43	36	37	43	36	110091555	89830983	118435629	8514723	121753068	128078661	68617703	8418017	98201407	90603851	84254560	37	39860342	31206034	51962587	2979770	33861063	44439848	34039922	2904655	41217625	39688505	32216035	43	96391032	96950495	94946652	7936569	91641443	88219343	82623226	5148129	99148076	55982068	71898703
4685	1	sp|Q99LB7|SARDH_MOUSE	 	 	 	 	62750435	62.8	919	101681	"Sarcosine dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Sardh PE=1 SV=1"	661	661	1	221	220	220	221	220	220	221	220	220	221	64015245	64027479	110748074	3761880	118521425	98523217	40570290	3362587	47942195	50735798	60220819	220	58013978	49867779	111856489	3579653	83215312	112526088	57666976	4365273	52862513	72843814	60679787	220	66502537	86681732	123755202	4988874	118758843	104318947	74666702	3775824	56233422	33824911	67350699
946	1	sp|P19096|FAS_MOUSE	 	 	 	 	61955684	47	2504	272425	Fatty acid synthase OS=Mus musculus OX=10090 GN=Fasn PE=1 SV=2	770	770	1	246	268	256	246	268	256	246	268	256	246	71577356	53213899	80290999	4288410	84378454	106694202	44713489	5574357	82467762	120123266	65332220	268	74985205	62602595	99151452	4120972	62949549	90835696	65040131	4334162	132651863	86557771	68322939	256	53936256	57120658	68664128	3862644	66691185	68680857	79570739	3209949	74164549	46217950	52211892
5539	1	sp|Q9EQ20|MMSA_MOUSE	 	 	 	 	60627829	58.5	535	57915	"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus OX=10090 GN=Aldh6a1 PE=1 SV=1"	520	520	1	169	165	186	169	165	186	169	165	186	169	72123779	62477329	90900434	4377082	89156875	104595038	46867090	3837125	59949315	53201910	58748598	165	74034426	61230714	110452511	4423270	79361882	106771226	72094982	4526468	76216074	79281901	66839346	186	66219686	83243720	82132384	5132895	79564331	80307983	71511609	3268910	59930042	31643863	56295542
1051	1	sp|P27773|PDIA3_MOUSE	 	 	 	 	59396149	58.4	505	56678	Protein disulfide-isomerase A3 OS=Mus musculus OX=10090 GN=Pdia3 PE=1 SV=2	415	415	1	133	126	156	133	126	156	133	126	156	133	92344177	75142920	82865501	4538536	85513638	101638725	67022733	4936327	108431043	109312879	73174648	126	55949695	42106070	79111889	2919162	53531258	64783502	64891899	3385113	94210534	60591638	52148076	156	68027402	67510838	56336503	4001710	55844284	55525357	78546990	2807681	92851519	47204940	52865722
765	1	sp|P08113|ENPL_MOUSE	 	 	"sp|P08113|ENPL_MOUSE, sp|P11499|HS90B_MOUSE"	 	58911436	42.6	802	92475	Endoplasmin OS=Mus musculus OX=10090 GN=Hsp90b1 PE=1 SV=2	658	631	0.959	206	216	236	197	207	227	203.031	213.088	233.425	197	76715114	66785209	66412234	3486160	86291423	88198904	60893972	4092305	95278731	113011217	66116527	207	58508254	54157943	77483952	2871490	69653031	70588618	73390885	3023669	104889336	73362289	58792947	227	60191734	67054916	49751890	3348743	61401747	56147972	78790061	2301216	91121369	48138693	51824834
1594	1	sp|P62806|H4_MOUSE	 	 	 	 	57754825	47.6	103	11367	Histone H4 OS=Mus musculus OX=10090 GN=H4c1 PE=1 SV=2	327	327	1	108	110	109	108	110	109	108	110	109	108	78973432	71569629	101555675	4164991	90940447	108131421	46282325	4339128	67083619	89307103	66234777	110	54560209	51352143	91818276	3465959	63583758	87073124	53578307	2949348	66079635	70692002	54515276	109	55986599	64225182	76977764	3988778	73393272	68762876	72579457	2996688	67856648	38376967	52514423
1144	1	sp|P35505|FAAA_MOUSE	 	 	 	 	56295007	64.9	419	46175	Fumarylacetoacetase OS=Mus musculus OX=10090 GN=Fah PE=1 SV=2	317	317	1	98	110	109	98	110	109	98	110	109	98	63058674	68134979	71127768	3809465	97382628	96931036	42186326	4106389	63595766	77233985	58756702	110	56756811	56904908	78774419	3805913	72917809	89178466	53592545	4252472	75714079	77225772	56912319	109	56945449	79429823	61651407	4565512	74999114	75140295	65075818	3544394	70242162	40566031	53216001
2613	1	sp|Q64433|CH10_MOUSE	 	 	 	 	56250554	62.7	102	10963	"10 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspe1 PE=1 SV=2"	182	182	1	55	66	61	55	66	61	55	66	61	55	65593509	56864618	76073566	3377562	79653949	93089850	41478662	3502176	54171122	56948631	53075364	66	74536877	58565039	111057281	3334110	65101096	95234676	64830485	3911902	75336086	78809556	63071711	61	67165403	71922973	74173437	3990343	70148840	69305794	65887339	2594428	62365233	38492085	52604587
734	1	sp|P06151|LDHA_MOUSE	 	 	"sp|P06151|LDHA_MOUSE, sp|P16125|LDHB_MOUSE"	 	55913245	52.4	332	36498	L-lactate dehydrogenase A chain OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=3	298	284	0.953	94	90	114	89	86	109	93.588	89.699	113.658	89	64887126	47798568	67281261	2657913	58823112	77990651	55803857	3797674	76639865	111239865	56691989	86	58439704	53328978	80244626	3029783	57284180	90563059	80699981	3349570	87804982	70460808	58520567	109	61224163	64438681	59005263	3253899	52205221	65941823	80398305	2564216	91231639	45008576	52527179
3321	1	sp|Q8BMS1|ECHA_MOUSE	 	 	 	 	55672624	49.8	763	82669	"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Hadha PE=1 SV=1"	576	576	1	195	195	186	195	195	186	195	195	186	195	68403560	59795361	72919751	3816727	75400882	83913650	42683199	3599576	55174208	57809248	52351616	195	64905494	52122360	90841748	3333547	66472436	80914192	66346465	3660362	71180249	69599501	56937635	186	72837172	88595211	75331970	4774392	73852645	69566468	73469727	2830333	76483165	39545121	57728620
5917	1	sp|Q9R0H0|ACOX1_MOUSE	 	 	 	 	54986193	63.1	661	74648	Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus OX=10090 GN=Acox1 PE=1 SV=5	522	522	1	169	180	173	169	180	173	169	180	173	169	71113868	33937706	85635535	2778367	50092410	96300907	52019497	3841137	73675101	68934886	53832941	180	51589661	39124257	81603129	3559875	46839399	125156825	74599311	4838604	72139274	53240978	55269131	173	56768974	53952728	88969750	3899430	54749885	100716786	80099505	3886720	73421796	42099495	55856507
1410	1	sp|P55264|ADK_MOUSE	 	 	 	 	54614063	49.9	361	40148	Adenosine kinase OS=Mus musculus OX=10090 GN=Adk PE=1 SV=2	202	202	1	68	75	59	68	75	59	68	75	59	68	45003704	70960385	58825064	5006607	91522250	90230603	39828420	4382758	50708489	65793602	52226188	75	41478616	74249229	64640737	4378818	77763628	86476727	54361716	4102695	63230519	93555882	56423857	59	45038683	92172146	58853346	6334908	91980853	78748284	72330367	3274356	65281362	37907141	55192144
1173	1	sp|P38647|GRP75_MOUSE	 	 	"sp|P17156|HSP72_MOUSE, sp|P38647|GRP75_MOUSE, sp|P63017|HSP7C_MOUSE"	 	51020578	59.8	679	73460	"Stress-70 protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspa9 PE=1 SV=3"	521	508	0.975	177	180	164	173	177	158	174.912	178.467	160.74	173	63974036	40281948	62358597	2902128	54928667	74522620	38921846	3376759	50218486	51159924	44264501	177	68769943	57043075	93087392	3337634	52963355	83102529	63387454	3782976	78399110	76071869	57994534	158	72935275	63030276	65420113	3638158	56625097	62840614	65945172	2625995	75975214	38991074	50802699
6052	1	sp|Q9WVL0|MAAI_MOUSE	 	 	 	 	50893680	81.5	216	24275	Maleylacetoacetate isomerase OS=Mus musculus OX=10090 GN=Gstz1 PE=1 SV=1	286	286	1	95	89	102	95	89	102	95	89	102	95	78828453	49116332	95384792	4009697	70885961	106500453	47156878	4778062	67687362	63624898	58797289	89	55379666	26791941	82813779	2597246	45216806	77886579	46750692	3690628	61681618	38236435	44104539	102	65353635	56404771	73892714	4239457	56323534	78320947	62443238	3362790	64132331	33318698	49779212
1189	1	sp|P41216|ACSL1_MOUSE	 	 	"sp|P41216|ACSL1_MOUSE, sp|Q8JZR0|ACSL5_MOUSE, sp|Q91WC3|ACSL6_MOUSE"	 	50573608	53.8	699	77951	Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus OX=10090 GN=Acsl1 PE=1 SV=2	496	459	0.925	177	151	168	165	137	157	173.75	146.817	165.267	165	84784498	48303351	54833639	3350153	48809990	74800299	56061078	3522104	95059551	62532966	53205763	137	66942301	39542611	66735301	2742563	47289529	66311438	60235363	3533047	116715075	49544125	51959135	157	79168355	72290121	53656309	4036974	40825592	51831196	53639957	2531888	72325577	35253285	46555925
4423	1	sp|Q91YI0|ARLY_MOUSE	 	 	 	 	49421390	64.9	464	51739	Argininosuccinate lyase OS=Mus musculus OX=10090 GN=Asl PE=1 SV=1	493	493	1	168	166	159	168	166	159	168	166	159	168	67250717	53033737	82259462	3796881	82814418	80889621	37408448	3589820	50257993	52281084	51358218	166	62496129	55879129	86603597	3509452	54287555	78593001	44716372	3322367	62631623	73954557	52599378	159	58875737	62094916	66324758	3313551	58548096	58470334	56005015	2254689	49198365	27980295	44306575
1005	1	sp|P24369|PPIB_MOUSE	 	 	 	 	47561718	48.6	216	23713	Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus OX=10090 GN=Ppib PE=1 SV=2	231	231	1	83	68	80	83	68	80	83	68	80	83	74114286	35892566	58751454	2662427	50776113	78301096	49127204	4344367	70206006	93038505	51721402	68	60268170	35466977	68695274	2893541	46269497	72647240	55879581	3432575	82031367	46000378	47358460	80	60613135	41252219	43279107	2982170	38553343	54853393	64700777	2626724	83969717	43222334	43605292
932	1	sp|P17751|TPIS_MOUSE	 	 	 	 	46557848	61.4	249	26712	Triosephosphate isomerase OS=Mus musculus OX=10090 GN=Tpi1 PE=1 SV=5	247	247	1	80	86	81	80	86	81	80	86	81	80	52340416	48715116	61184551	3259780	58832039	66552980	34114195	2985635	49044155	46058056	42308692	86	57981374	55014611	81312577	3624694	54334981	71602761	54512684	3633654	66877587	74501011	52339593	81	56793680	71848180	61234820	4165006	54359435	58746979	58580849	2574390	52230037	29719195	45025257
637	1	sp|O88844|IDHC_MOUSE	 	 	"sp|O88844|IDHC_MOUSE, sp|P54071|IDHP_MOUSE"	 	46349110	66.7	414	46674	Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus OX=10090 GN=Idh1 PE=1 SV=2	450	421	0.936	142	154	154	132	143	146	138.735	150.183	151.382	132	56659544	48633042	68065362	2918044	61470666	71621091	36064427	2923898	70463566	58887131	47770677	143	56031297	37554860	77563358	2547240	47780172	61224900	47735631	2714521	84606723	49680741	46743944	146	54581946	60759115	62229482	3390120	52220271	55533612	54231380	2206417	65608323	34566423	44532709
1307	1	sp|P50172|DHI1_MOUSE	 	 	 	 	45966466	46.6	292	32364	11-beta-hydroxysteroid dehydrogenase 1 OS=Mus musculus OX=10090 GN=Hsd11b1 PE=1 SV=3	346	346	1	112	115	119	112	115	119	112	115	119	112	50296382	64060502	70882986	3732514	73734339	80491632	35736047	2660119	52368858	43095730	47705911	115	44041327	51849252	64543322	2656514	56863385	85465044	47809610	3060817	50409306	71883246	47858182	119	36765607	82907646	54189598	3660964	64943844	60632139	57320315	1687886	38594291	22650755	42335305
4301	1	sp|Q91VS7|MGST1_MOUSE	 	 	 	 	45862006	40	155	17551	Microsomal glutathione S-transferase 1 OS=Mus musculus OX=10090 GN=Mgst1 PE=1 SV=3	270	270	1	84	90	96	84	90	96	84	90	96	84	112812806	70488226	56602618	2187508	83029214	67791292	45089250	1931556	91951918	57672058	58955645	90	46512905	30010770	55113077	1455525	47396294	41063243	46241000	1582666	71589013	38014821	37897931	96	70839189	78778343	43251303	2222808	50268720	44883982	45369837	998012	53359530	17352695	40732442
4523	1	sp|Q922D8|C1TC_MOUSE	 	 	"sp|Q3V3R1|C1TM_MOUSE, sp|Q922D8|C1TC_MOUSE"	 	45312564	60.2	935	101198	"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus OX=10090 GN=Mthfd1 PE=1 SV=4"	555	551	0.993	181	185	189	180	184	187	180.973	184.984	188.928	180	48529583	49437930	57433078	3153006	62180670	66543941	31201090	2727170	42274918	54121290	41760267	184	54974485	49931976	78479792	3575374	59273110	80921268	47605904	3633505	62522800	67021300	50793951	187	48513748	63965575	56103435	4203504	58907936	60692148	52120644	2635622	54548500	32143616	43383473
814	1	sp|P10649|GSTM1_MOUSE	 	 	"sp|O35660|GSTM6_MOUSE, sp|P10649|GSTM1_MOUSE, sp|P15626|GSTM2_MOUSE, sp|P19639|GSTM3_MOUSE, sp|P48774|GSTM5_MOUSE, sp|Q80W21|GSTM7_MOUSE, sp|Q8R5I6|GSTM4_MOUSE"	 	44978221	70.2	218	25970	Glutathione S-transferase Mu 1 OS=Mus musculus OX=10090 GN=Gstm1 PE=1 SV=2	692	476	0.688	222	239	231	152	164	160	206.973	223.188	217.468	152	54250137	36592440	60641236	2673546	42434146	78044144	37468444	3311288	70985096	36118646	42251912	164	64280731	57779623	70401834	3945859	45200184	73989771	52023445	3764723	83204563	78898799	53348953	160	45360840	59384996	53489260	3845321	41163522	54002526	51582605	2589211	54224567	27695116	39333796
1461	1	sp|P58252|EF2_MOUSE	 	 	"sp|O08810|U5S1_MOUSE, sp|P58252|EF2_MOUSE"	 	44648214	47.9	858	95313	Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2	521	505	0.969	177	165	179	172	160	173	176.279	164.255	178.216	172	73797842	52540163	59459906	3352365	65536901	74146765	46083128	3810034	74706869	87214240	54064821	160	44373697	42129844	55539810	2709056	40391722	49199405	45208551	2752791	71176263	58254135	41173527	173	51166659	52184766	39784409	3024594	43521497	42191698	55334876	2205355	63735988	33913081	38706292
831	1	sp|P11499|HS90B_MOUSE	 	 	"sp|P07901|HS90A_MOUSE, sp|P08113|ENPL_MOUSE, sp|P11499|HS90B_MOUSE, sp|Q9CQN1|TRAP1_MOUSE"	 	43912731	57.5	724	83280	Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3	610	287	0.47	202	200	208	97	99	91	151.538	154.727	149.208	97	57122284	47228830	57332746	2784976	75654557	74295104	47377063	3076422	57237289	72438752	49454802	99	40698842	44942502	55881650	2384687	49034459	52938978	40379703	2123388	57629232	64009778	41002322	91	46504184	54345604	45688435	2970145	58318898	52002365	52333327	2193919	62430251	36023551	41281068
3696	1	sp|Q8CHT0|AL4A1_MOUSE	 	 	 	 	43074991	50	562	61840	"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Aldh4a1 PE=1 SV=3"	332	332	1	109	111	112	109	111	112	109	111	112	109	39896901	41927693	58111118	3139890	72713284	63768901	28569432	2975297	30954034	37912035	37996859	111	44759972	45899687	70490053	3348992	64646228	81017410	45700045	3415026	37745026	61648293	45867073	112	45259156	61725849	65655847	3170689	72316095	76072173	53360932	2077167	45422650	28549854	45361041
1289	1	sp|P49429|HPPD_MOUSE	 	 	 	 	42888835	70	393	45054	4-hydroxyphenylpyruvate dioxygenase OS=Mus musculus OX=10090 GN=Hpd PE=1 SV=3	373	373	1	114	135	124	114	135	124	114	135	124	114	44089041	41015177	56263962	2864807	63046314	63452871	23216716	2523109	30540977	42330102	36934307	135	67677141	67347624	84890030	4813453	67567810	90420371	44251406	4818724	61474395	91553941	58481490	124	42882843	50281379	44579161	2595828	48847834	48805467	35510483	1580096	34108438	23315540	33250707
1613	1	sp|P62897|CYC_MOUSE	 	 	 	 	42686779	54.3	105	11605	"Cytochrome c, somatic OS=Mus musculus OX=10090 GN=Cycs PE=1 SV=2"	146	146	1	51	50	45	51	50	45	51	50	45	51	71104693	52959649	66552343	3250073	71261792	66263280	37648829	3220033	47111224	45175691	46454761	50	51419450	47878871	62203954	3199160	52437419	45944437	38734460	2578444	48677480	64558713	41763239	45	57752325	62383769	52034997	3168848	55232384	38192583	47846608	1803712	54446825	25561318	39842337
4142	1	sp|Q8VCN5|CGL_MOUSE	 	 	 	 	41835513	70.9	398	43567	Cystathionine gamma-lyase OS=Mus musculus OX=10090 GN=Cth PE=1 SV=1	271	271	1	82	96	93	82	96	93	82	96	93	82	30074146	34312448	35874816	2342587	60536809	39855999	16364089	1664126	19856884	20614630	26149653	96	53903374	93756465	71660104	5332070	70825321	93295544	34925898	4951336	40166571	124406925	59322361	93	51187514	62039292	58483161	3798702	75549007	60750408	39686555	2558552	27986783	18305264	40034524
5384	1	sp|Q9DB77|QCR2_MOUSE	 	 	 	 	40889870	45.9	453	48234	"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrc2 PE=1 SV=1"	260	260	1	89	83	88	89	83	88	89	83	88	89	50632082	44851900	53240412	2699701	53784659	64091916	32586278	2697874	43114026	41326182	38902503	83	57927191	46511229	71676436	3069412	53017249	68709323	50192042	3057482	64141707	64560989	48286306	88	45311792	53705372	46762343	3009269	46454192	42565900	43759991	1747343	46084076	25407728	35480801
4650	1	sp|Q99KI0|ACON_MOUSE	 	 	 	 	40054233	51.8	780	85462	"Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1"	323	323	1	104	112	107	104	112	107	104	112	107	104	49855476	41693410	57198704	2930308	56013035	60818155	28065233	2577273	38329499	32585404	37006650	112	49099130	45169100	63471147	3334955	55164844	63075875	41717247	3389422	48832473	58742463	43199666	107	50089048	64188430	55677691	3733913	56119780	55081073	48771779	2135626	40335680	23430812	39956383
5434	1	sp|Q9DBT9|M2GD_MOUSE	 	 	 	 	38990337	55.5	869	97254	"Dimethylglycine dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dmgdh PE=1 SV=1"	500	500	1	157	172	171	157	172	171	157	172	171	157	39151000	43530443	51219061	3100377	83947334	59502450	27350253	2509431	33412310	35702667	37942533	172	34100648	47446642	65753765	3490602	60606520	77211434	38802937	3728708	45860613	65500393	44250226	171	30684374	50874946	44148552	3079529	61507671	58476511	40436487	2170974	36175894	20227575	34778251
